Gender,Experience,DevType,TeamSize,Roles,ConflictFreq,Simple_Small,Simple_Large,Complex_Small,Complex_Large
1,1,3,2,"[Software Engineer/Developer, Project Maintainer, DevOps]",3,4,3,3,2
1,2,2,2,[Software Engineer/Developer],2,3,2,1,1
1,3,2,2,"[Software Engineer/Developer, Systems Engineer, Systems Administrator, Project Maintainer, Project Manager, System Architect, DevOps]",5,5,5,5,4
1,3,2,5,[Software Engineer/Developer],2,4,3,3,2
1,1,1,2,[Software Engineer/Developer],2,5,4,3,3
2,1,1,5,"[Software Engineer/Developer, Other]",2,5,5,4,4
1,1,2,2,"[Software Engineer/Developer, Systems Engineer, Systems Administrator, Project Maintainer, Project Manager, System Architect, DevOps]",5,5,4,3,2
2,1,2,3,[Software Engineer/Developer],5,3,3,2,2
1,6,3,2,"[Software Engineer/Developer, Systems Engineer, Systems Administrator, Project Maintainer, Project Manager, System Architect, DevOps]",3,5,4,4,3
1,6,1,5,"[Software Engineer/Developer, Other]",5,5,5,3,3
1,3,2,3,"[Software Engineer/Developer, Systems Engineer, Project Manager, System Architect, DevOps]",2,5,5,5,5
1,1,2,2,"[Software Engineer/Developer, DevOps]",5,5,5,3,2
1,1,2,2,[Software Engineer/Developer],5,5,4,4,2
1,1,2,3,[Software Engineer/Developer],6,3,3,2,2
1,1,2,2,[Software Engineer/Developer],4,4,3,4,3
3,3,2,3,[Software Engineer/Developer],6,4,4,3,3
1,1,2,2,"[Software Engineer/Developer, DevOps]",4,5,5,5,4
1,6,2,4,"[Software Engineer/Developer, Systems Administrator, Project Maintainer, Project Manager, System Architect]",2,5,3,2,1
2,1,2,4,[Software Engineer/Developer],2,4,4,4,4
1,1,3,1,[Software Engineer/Developer],5,4,2,1,1
1,2,3,2,[Software Engineer/Developer],5,5,4,3,3
1,1,2,2,[Software Engineer/Developer],6,4,4,3,2
1,1,2,2,[Software Engineer/Developer],5,2,2,1,1
1,2,2,3,"[Software Engineer/Developer, DevOps]",5,5,5,3,3
1,4,2,3,"[Software Engineer/Developer, Systems Engineer, DevOps]",2,3,3,3,3
1,1,2,3,[Software Engineer/Developer],5,3,3,1,1
2,1,2,2,[Software Engineer/Developer],5,5,4,4,3
1,2,3,2,"[Software Engineer/Developer, Systems Engineer, Project Maintainer, Project Manager, System Architect]",5,5,3,2,1
1,2,2,2,"[Software Engineer/Developer, System Architect, DevOps]",2,5,5,4,4
1,2,2,2,"[Software Engineer/Developer, Other]",5,5,5,5,4
1,3,3,3,[Other],6,4,4,3,3
1,1,2,2,[Software Engineer/Developer],1,3,3,3,3
1,1,2,2,"[Software Engineer/Developer, DevOps]",2,5,5,5,5
1,2,1,2,[Software Engineer/Developer],5,2,1,1,1
2,1,2,3,[Software Engineer/Developer],2,5,4,4,3
3,3,3,4,[DevOps],2,3,3,3,3
1,4,3,3,"[Software Engineer/Developer, Project Manager, System Architect, DevOps]",2,3,2,2,1
1,4,2,4,"[Software Engineer/Developer, System Architect]",5,4,4,2,2
1,4,2,4,"[Software Engineer/Developer, Systems Administrator, System Architect, DevOps]",3,5,4,5,3
1,1,2,2,"[Software Engineer/Developer, System Architect]",5,4,4,4,3
1,2,2,3,"[Software Engineer/Developer, Systems Administrator, DevOps]",5,4,4,4,4
1,4,2,2,"[Software Engineer/Developer, Systems Engineer, System Architect, DevOps]",2,4,4,3,2
1,2,3,2,"[Software Engineer/Developer, System Architect]",2,5,5,5,4
3,1,2,2,[Software Engineer/Developer],2,5,4,3,3
1,2,2,2,"[Software Engineer/Developer, Project Manager, System Architect]",2,5,5,4,3
1,2,2,3,"[Software Engineer/Developer, Systems Administrator]",2,5,2,2,2
1,2,2,2,"[Systems Engineer, Systems Administrator]",2,4,3,3,2
1,3,3,4,"[Software Engineer/Developer, System Architect, DevOps]",2,5,5,4,4
1,1,2,2,[Software Engineer/Developer],3,5,5,4,3
1,1,2,3,"[Software Engineer/Developer, DevOps]",5,3,2,1,1
1,4,2,2,[Software Engineer/Developer],5,5,5,4,4
2,2,2,3,"[Software Engineer/Developer, Project Manager, Other, System Architect, DevOps]",2,5,4,4,4
1,1,1,2,[Software Engineer/Developer],2,4,4,4,4
1,3,2,2,"[Software Engineer/Developer, System Architect]",4,5,4,3,3
1,2,2,3,"[Software Engineer/Developer, Systems Engineer]",5,4,4,3,3
1,2,2,3,"[Software Engineer/Developer, System Architect]",5,4,3,3,2
3,3,2,2,"[Software Engineer/Developer, Project Manager]",3,5,4,1,1
1,2,3,2,[Software Engineer/Developer],5,4,4,3,3
1,1,3,2,[Software Engineer/Developer],6,2,2,2,1
1,3,2,5,[Software Engineer/Developer],3,5,3,3,2
1,2,1,3,"[Software Engineer/Developer, Project Manager]",5,5,5,5,5
1,3,1,3,"[Software Engineer/Developer, Systems Engineer, Systems Administrator, Project Maintainer, Project Manager, Other, System Architect, DevOps]",3,5,5,5,5
1,2,3,5,[Software Engineer/Developer],2,4,4,3,2
1,3,2,3,"[Software Engineer/Developer, DevOps]",2,5,5,2,1
1,1,2,4,[Software Engineer/Developer],2,5,3,5,3
1,2,2,3,"[Software Engineer/Developer, Project Manager]",5,3,2,2,1
1,6,1,4,"[Software Engineer/Developer, Project Manager, System Architect]",2,5,5,4,3
1,6,2,3,"[Software Engineer/Developer, Systems Engineer, Systems Administrator, Project Manager, System Architect]",5,3,3,3,3
1,2,2,3,"[Software Engineer/Developer, Systems Engineer, Project Maintainer, Project Manager]",1,4,3,3,2
1,4,2,4,"[Software Engineer/Developer, Systems Engineer, Systems Administrator, Project Maintainer, Project Manager, System Architect, DevOps]",2,4,4,4,4
1,6,2,2,"[Software Engineer/Developer, Systems Engineer, Systems Administrator, Project Maintainer, Project Manager, System Architect]",6,5,3,3,3
1,6,1,5,"[Software Engineer/Developer, System Architect]",4,5,5,3,2
1,6,2,4,[Software Engineer/Developer],5,3,2,2,2
1,2,2,2,"[Software Engineer/Developer, Systems Administrator, Project Maintainer]",5,5,5,5,4
1,1,1,1,"[Software Engineer/Developer, Systems Engineer, Project Maintainer, DevOps]",4,5,5,5,4
1,2,3,2,[Software Engineer/Developer],2,4,4,3,3
1,2,1,3,"[Software Engineer/Developer, Project Maintainer]",5,4,4,3,3
1,6,2,5,[Software Engineer/Developer],2,5,5,4,3
1,6,3,3,"[Software Engineer/Developer, Project Manager, System Architect]",4,4,4,3,3
1,1,2,3,[Software Engineer/Developer],2,5,4,5,4
1,5,3,4,[System Architect],5,4,4,3,3
1,2,2,3,"[Software Engineer/Developer, Systems Administrator, Project Maintainer, Project Manager, DevOps]",2,5,4,2,2
1,2,2,2,"[Software Engineer/Developer, Project Manager]",1,4,4,4,4
1,3,2,2,"[Software Engineer/Developer, Project Manager]",2,3,2,3,3
1,1,2,3,"[Software Engineer/Developer, Project Maintainer, Project Manager]",5,5,5,5,5
1,1,3,2,"[Software Engineer/Developer, Project Manager]",2,5,4,3,2
1,6,2,2,"[Software Engineer/Developer, Project Maintainer, DevOps]",5,5,4,3,2
1,2,3,4,"[Software Engineer/Developer, Project Maintainer]",2,4,4,3,3
1,2,2,3,"[Software Engineer/Developer, Systems Engineer, Project Maintainer, DevOps]",5,4,4,3,2
1,4,2,5,"[Software Engineer/Developer, Systems Engineer, System Architect, DevOps]",2,5,5,4,4
1,4,1,2,"[Software Engineer/Developer, Systems Engineer, Project Maintainer, Project Manager, System Architect, DevOps]",5,5,4,4,2
3,2,1,5,"[Software Engineer/Developer, Systems Engineer, Project Manager, System Architect]",2,5,3,5,2
1,2,2,2,"[Software Engineer/Developer, Project Manager]",5,5,5,5,5
1,6,3,2,"[Software Engineer/Developer, Project Maintainer, DevOps]",5,5,4,3,3
1,3,1,1,[Software Engineer/Developer],5,5,3,4,3
1,2,2,2,"[Software Engineer/Developer, Systems Engineer, Systems Administrator, Project Maintainer, Project Manager, System Architect, DevOps]",1,5,4,4,4
1,2,3,2,[Software Engineer/Developer],2,5,3,3,1
1,5,3,2,"[Software Engineer/Developer, Systems Engineer, Project Maintainer, Project Manager, System Architect, DevOps]",5,5,5,5,5
1,2,2,2,"[Software Engineer/Developer, Systems Administrator, Project Manager, System Architect]",4,5,5,3,2
1,3,1,4,[Project Maintainer],1,2,4,5,5
1,6,2,2,"[Software Engineer/Developer, Project Manager, System Architect]",3,4,4,3,3
1,2,2,2,[Software Engineer/Developer],2,5,3,3,3
1,3,2,4,"[Software Engineer/Developer, Systems Engineer, Systems Administrator, Other, System Architect, DevOps]",2,5,5,4,3
1,3,1,4,"[Software Engineer/Developer, Systems Engineer, Project Maintainer, Project Manager, System Architect, DevOps]",2,5,4,3,2
1,2,2,4,"[Software Engineer/Developer, Systems Engineer, Project Manager, System Architect, DevOps]",3,3,3,3,3
1,5,3,2,"[Software Engineer/Developer, Systems Engineer]",5,4,3,4,2
1,3,3,3,"[Software Engineer/Developer, Project Maintainer, System Architect, DevOps]",2,5,4,3,1
1,4,3,3,[Software Engineer/Developer],4,4,4,3,3
1,2,2,1,"[Software Engineer/Developer, Project Maintainer]",2,2,2,2,3
1,2,2,4,"[Software Engineer/Developer, System Architect, DevOps]",5,5,4,5,4
1,1,2,3,[Software Engineer/Developer],5,4,4,4,3
1,2,2,2,[Software Engineer/Developer],2,4,3,4,2
1,4,3,2,"[Software Engineer/Developer, Systems Engineer, Systems Administrator, Project Maintainer, Project Manager, System Architect, DevOps]",6,4,3,3,3
1,2,2,5,[Software Engineer/Developer],1,2,2,2,1
1,6,2,2,"[Software Engineer/Developer, Systems Administrator, System Architect, DevOps]",4,4,4,4,2
1,2,3,2,"[Software Engineer/Developer, Project Maintainer]",1,5,4,4,3
1,3,1,1,"[Software Engineer/Developer, Systems Engineer, Systems Administrator, System Architect, DevOps]",5,3,3,2,2
2,5,2,3,"[Software Engineer/Developer, Systems Engineer, Project Maintainer, Project Manager, DevOps]",7,4,3,4,2
1,2,3,4,[DevOps],2,3,3,3,3
1,4,2,2,"[Software Engineer/Developer, Project Maintainer, System Architect, DevOps]",2,4,4,3,2
